Mod,Plot,Type,Distance,Side,UniqueID,Altitude,Decl1,Decl2,Decl3,Decl4,Aspecto,Prof1,Prof2,Prof3,Prof4,Rocha1,Rocha2,Rocha3,Rocha4,Solo1,Solo2,Solo3,Solo4,Biom1,Biom2,Biom3,Biom4,Serra1,Serra2,Serra3,Serra4,esp_serra1,esp_serra2,esp_serra3,esp_serra4,grimpa1,grimpa2,grimpa3,grimpa4,hmax,dossel,agua,Gado,Veg,Fogo,tipo.veg,obs,obs2,data,Biomass_mean,Serra_mean,Species_richness
1,M01T03,Terrestre,25,M,TN2500_25_M,1453.0,37.0,37.0,37.0,37.0,280.0,51.0,51.0,51.0,51.0,0.0,0.0,15.0,5.0,3.0,5.0,20.0,10.0,0.0,0.0,0.0,0.0,97.0,95.0,65.0,85.0,3.0,7.0,6.0,5.0,3.0,5.0,20.0,10.0,14.0,23.90395833,100.0,1.0,,,FOM,,,,0.0,85.5,21.0
1,M01T03,Terrestre,75,M,TN2500_75_M,1453.0,33.0,33.0,33.0,33.0,250.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,30.0,12.0,0.0,0.0,5.0,8.0,20.0,0.0,65.0,80.0,80.0,100.0,4.0,4.0,9.0,13.0,0.0,0.0,0.0,0.0,2.5,39.8165625,100.0,1.0,,,FOM,,,,8.25,81.25,30.0
1,M01T03,Terrestre,125,M,TN2500_125_M,1453.0,40.0,40.0,40.0,40.0,240.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,36.0,25.0,30.0,45.0,0.0,0.0,0.0,0.0,5.5,6.831666667,100.0,1.0,,,FOM,,,,0.0,100.0,136.0
1,M01T03,Terrestre,175,M,TN2500_175_M,1453.0,31.0,31.0,31.0,31.0,300.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,24.0,20.0,16.0,13.0,0.0,0.0,0.0,0.0,13.0,8.9709375,100.0,1.0,,,FOM,,,,0.0,100.0,73.0
1,M01T03,Terrestre,225,M,TN2500_225_M,1453.0,16.9,16.9,16.9,16.9,320.0,30.0,30.0,30.0,30.0,0.0,5.0,0.0,0.0,10.0,60.0,15.0,25.0,0.0,0.0,5.0,5.0,90.0,35.0,80.0,70.0,3.0,5.0,5.0,3.0,2.0,60.0,15.0,25.0,11.0,35.61041667,100.0,1.0,,,FOM,,,,2.5,68.75,16.0
1,M01T04,Terrestre,25,J,TN3500_25_J,1592.0,25.0,10.0,26.0,17.0,229.0,18.0,40.0,35.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,2.0,95.0,95.0,90.0,98.0,2.0,1.5,2.3,2.6,0.0,0.0,0.0,0.0,7.0,16.93135417,100.0,1.0,,,FOM,,,2/20/2020,3.0,94.5,8.4
1,M01T04,Terrestre,75,J,TN3500_75_J,1592.0,16.0,13.0,13.0,14.0,197.0,51.0,20.0,45.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,90.0,80.0,65.0,20.0,10.0,20.0,35.0,1.3,2.0,5.0,4.0,20.0,0.0,5.0,10.0,10.0,17.11458333,100.0,1.0,,,FOM,,,2/20/2020,78.75,21.25,12.3
1,M01T04,Terrestre,125,J,TN3500_125_J,1592.0,12.0,22.0,26.0,14.0,272.0,40.0,30.0,40.0,51.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,5.0,95.0,98.0,40.0,95.0,7.5,5.0,4.5,6.0,45.0,10.0,5.0,30.0,13.0,10.2959375,100.0,1.0,,,FOM,,,2/20/2020,3.0,82.0,23.0
1,M01T04,Terrestre,175,J,TN3500_175_J,1592.0,18.0,18.0,16.0,18.0,241.0,51.0,51.0,31.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,2.0,0.0,92.0,95.0,98.0,100.0,2.5,2.0,2.0,2.2,10.0,15.0,10.0,10.0,11.0,13.65322917,100.0,1.0,,,FOM,,,2/20/2020,3.75,96.25,8.7
1,M01T04,Terrestre,225,J,TN3500_225_J,1592.0,23.0,15.0,21.0,13.0,241.0,51.0,22.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,5.0,0.0,50.0,95.0,95.0,100.0,2.0,1.7,3.5,1.5,0.0,0.0,0.0,0.0,7.0,18.57239583,100.0,1.0,,,FOM,,,2/20/2020,15.0,85.0,8.7
1,M01T04,Terrestre,25,M,TN3500_25_M,1592.0,15.0,12.0,16.0,10.0,200.0,21.0,22.0,17.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,60.0,40.0,40.0,49.0,40.0,60.0,60.0,2.8,3.3,4.6,4.0,0.0,0.0,0.0,0.0,8.0,30.4171875,100.0,1.0,,,FOM,,,2/20/2020,47.5,52.25,14.7
